Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
853d115f1d71472c50ce3af1e141cfc1793370c5e2f1c19ac8fa17f597e85431,2017-03,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
275d6ebe9f971c2d49b98f52549ed902b617ab25410ffa7c153c727112c71532,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
10a35bebddd4998f4cf3deb148d45c053b019512b8abbf3619f7aca2d7d9d7dd,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
b02712f6e746f2b102edc26667425b470e8442fc376bfa4af9097899ddbd9ed7,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
59eb746b23f8f94494b992d96fc88be98b579b2717ad83618679185d24e2b52e,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
6ffd8a4d443dd4390ad292f2c409846cdf83da77ac8db9e27dbafc47c3a5dea4,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
1a752068000e043744784e387f52ff03e36718e91f772cda56a41116dfb3dcef,2017-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
bd093ae60faa9ae97d5078c2e5987ad3d59c2ed769947e731cfa3926d2caf219,2017-03,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Violence and sexual offences,Local resolution,
ea1477dc4eb88127a78996f6ed8e15cfbf747b8bad0a51c5389942ec122af43a,2017-03,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Violence and sexual offences,Local resolution,
e7c115a809408ba103d8641158e3996a2d1df0dff3802528139e34be0fa37606,2017-03,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Violence and sexual offences,Unable to prosecute suspect,
,2017-03,City of London Police,City of London Police,-0.095484,51.515467,On or near Gutter Lane,E01000002,City of London 001B,Anti-social behaviour,,
,2017-03,City of London Police,City of London Police,-0.091440,51.519807,On or near Silk Street,E01000002,City of London 001B,Anti-social behaviour,,
